timestamp=2025-12-04T13:41:05.243Z level=INFO fiber=#0 message="Starting Salesforce Metadata API scraper (visible: false, browsers: 5, concurrency: 20, total: 100)"
timestamp=2025-12-04T13:41:06.956Z level=INFO fiber=#321 message="[33/566] ObjectSourceTargetMap → Browser 3"
timestamp=2025-12-04T13:41:06.957Z level=INFO fiber=#326 message="[38/566] AccountingModelConfig → Browser 3"
timestamp=2025-12-04T13:41:06.960Z level=INFO fiber=#296 message="[8/566] AiPluginUtteranceDef → Browser 3"
timestamp=2025-12-04T13:41:06.962Z level=INFO fiber=#309 message="[21/566] DataStreamDefinition → Browser 1"
timestamp=2025-12-04T13:41:06.965Z level=INFO fiber=#344 message="[56/566] ChannelLayout → Browser 1"
timestamp=2025-12-04T13:41:06.973Z level=INFO fiber=#354 message="[66/566] AppointmentSchedulingPolicy → Browser 1"
timestamp=2025-12-04T13:41:06.981Z level=INFO fiber=#329 message="[41/566] ActionableListDefinition → Browser 1"
timestamp=2025-12-04T13:41:07.100Z level=INFO fiber=#327 message="[39/566] ActionLinkGroupTemplate → Browser 4"
timestamp=2025-12-04T13:41:07.102Z level=INFO fiber=#340 message="[52/566] AnimationRule → Browser 2"
timestamp=2025-12-04T13:41:07.103Z level=INFO fiber=#373 message="[85/566] BusinessProcessGroup → Browser 5"
timestamp=2025-12-04T13:41:07.103Z level=INFO fiber=#328 message="[40/566] ActionPlanTemplate → Browser 5"
timestamp=2025-12-04T13:41:07.104Z level=INFO fiber=#333 message="[45/566] AIApplicationConfig → Browser 5"
timestamp=2025-12-04T13:41:07.104Z level=INFO fiber=#336 message="[48/566] AnalyticsDashboard → Browser 3"
timestamp=2025-12-04T13:41:07.104Z level=INFO fiber=#346 message="[58/566] ApexClass → Browser 3"
timestamp=2025-12-04T13:41:07.105Z level=INFO fiber=#314 message="[26/566] ExternalDataTranObject → Browser 1"
timestamp=2025-12-04T13:41:07.120Z level=INFO fiber=#298 message="[10/566] DataConnector → Browser 5"
timestamp=2025-12-04T13:41:07.121Z level=INFO fiber=#343 message="[55/566] ArticleType Layout → Browser 5"
timestamp=2025-12-04T13:41:07.123Z level=INFO fiber=#371 message="[83/566] BrandingSet → Browser 3"
timestamp=2025-12-04T13:41:07.123Z level=INFO fiber=#356 message="[68/566] AssignmentRules → Browser 3"
timestamp=2025-12-04T13:41:07.124Z level=INFO fiber=#311 message="[23/566] ExternalDataConnector → Browser 3"
timestamp=2025-12-04T13:41:07.125Z level=INFO fiber=#299 message="[11/566] DataConnectorIngestApi → Browser 1"
timestamp=2025-12-04T13:41:07.125Z level=INFO fiber=#349 message="[61/566] ApexPage → Browser 1"
timestamp=2025-12-04T13:41:07.172Z level=INFO fiber=#320 message="[32/566] MktDataTranObject → Browser 2"
timestamp=2025-12-04T13:41:07.174Z level=INFO fiber=#368 message="[80/566] BotBlock → Browser 5"
timestamp=2025-12-04T13:41:07.174Z level=INFO fiber=#386 message="[98/566] ChoiceList → Browser 3"
timestamp=2025-12-04T13:41:07.658Z level=INFO fiber=#338 message="[50/566] AnalyticsVisualization → Browser 5"
timestamp=2025-12-04T13:41:07.659Z level=INFO fiber=#376 message="[88/566] CallCoachingMediaProvider → Browser 3"
timestamp=2025-12-04T13:41:07.679Z level=INFO fiber=#300 message="[12/566] DataConnectorS3 → Browser 2"
timestamp=2025-12-04T13:41:07.679Z level=INFO fiber=#388 message="[100/566] ClauseCatgConfiguration → Browser 5"
timestamp=2025-12-04T13:41:07.680Z level=INFO fiber=#301 message="[13/566] DataPackageKitDefinition → Browser 3"
